gene,noFMT_2_ileum
gene_3340967,97315
gene_3584313,96032
gene_4501438,88070
gene_3952247,86791
gene_2947127,85221
gene_4561987,84252
gene_4622482,83735
gene_4108299,83384
gene_3787930,83278
gene_4225958,83270
gene_3516854,81936
gene_4016531,81641
gene_4316990,81075
gene_3703198,79044
gene_4386762,77856
gene_3101065,77571
gene_3433148,77471
gene_3330827,76553
gene_4284425,74495
gene_4540942,74075
gene_4386171,73726
gene_3001961,73715
gene_3993385,73315
gene_3135983,72640
gene_3989023,72388
gene_4419584,71998
gene_4036652,71900
gene_4334201,71231
gene_3495998,71124
gene_3052838,70429
gene_4338190,70279
gene_3859809,70241
gene_4423019,68109
gene_3764696,68101
gene_3260889,67675
gene_2342657,67649
gene_3210366,67580
gene_4387326,67534
gene_2912316,67271
gene_4171501,67043
gene_4330949,66996
gene_4346856,66909
gene_3364891,66741
gene_3557724,66399
gene_4627549,65979
gene_3432174,65537
gene_3613911,65525
gene_2850056,65474
gene_2928338,64561
gene_3574173,64403
gene_3702322,64124
gene_3818861,64068
gene_2988422,63974
gene_3616653,63759
gene_4508783,63751
gene_3083162,63717
gene_3290868,63283
gene_3585500,62921
gene_3371006,62611
gene_4512024,62365
gene_3147171,62351
gene_4021349,62340
gene_3257034,62153
gene_4495409,62150
gene_3246467,61535
gene_4203264,61449
gene_4420133,61415
gene_4344959,61175
gene_3384069,61138
gene_4528138,60908
gene_4629613,60895
gene_3549943,60774
gene_2646438,60705
gene_3652454,60681
gene_3082022,60649
gene_4346761,60634
gene_3730402,60342
gene_3658717,60267
gene_4264534,60223
gene_3580147,60168
gene_3868912,60025
gene_3188931,59902
gene_4147251,59856
gene_3361691,59849
gene_3896903,59821
gene_3291045,59591
gene_4100199,59557
gene_3461286,59452
gene_3630863,59303
gene_4028544,59292
gene_3790903,59210
gene_4307382,59177
gene_4253614,59138
gene_3365448,58927
gene_3196730,58750
gene_4339977,58557
gene_3750089,58537
gene_4007429,58532
gene_4508782,58516
gene_4219067,58373
gene_4316177,58307
gene_3867259,58297
gene_3808459,58297
gene_4218769,58067
gene_3919810,58007
gene_4623567,57637
gene_3440800,57588
gene_3824167,57533
gene_3057548,57347
gene_4513499,57283
gene_3544973,57270
gene_3670427,57208
gene_4517226,57182
gene_2762987,56953
gene_2095992,56950
gene_4282247,56771
gene_4634338,56704
gene_3857775,56693
gene_4401297,56668
gene_3888271,56639
gene_4470407,56606
gene_3904066,56516
gene_3393628,56504
gene_4414410,56242
gene_4508703,56152
gene_3939091,56098
gene_4164876,56041
gene_4410387,55983
gene_4040662,55972
gene_4274197,55959
gene_3210147,55921
gene_4229339,55880
gene_4281171,55849
gene_3947041,55807
gene_3772239,55772
gene_4420630,55747
gene_3590518,55725
gene_4055190,55669
gene_4499431,55636
gene_4025509,55633
gene_4329853,55622
gene_3649150,55617
gene_3842103,55529
gene_3567414,55518
gene_4021122,55429
gene_4075667,55398
gene_4466755,55311
gene_4489856,55261
gene_3841170,55237
gene_2485364,55227
gene_3042132,55223
gene_3845823,55185
gene_4158462,55059
gene_4032910,54988
gene_4135100,54930
gene_3347716,54880
gene_3347464,54872
gene_2891508,54664
gene_4203002,54662
gene_4436960,54651
gene_2803613,54558
gene_4346442,54527
gene_3465828,54514
gene_4617382,54431
gene_3363819,54304
gene_4234918,54122
gene_3608730,54037
gene_3101473,53912
gene_3037461,53838
gene_4316493,53834
gene_4274272,53776
gene_3862761,53405
gene_3251230,53297
gene_4462425,53280
gene_3394445,53276
gene_3667044,53242
gene_1943947,53050
gene_4172273,52926
gene_4539942,52886
gene_4408765,52842
gene_3445319,52609
gene_4493120,52508
gene_3891396,52427
gene_3323454,52091
gene_3318738,52052
gene_2609743,51933
gene_4014806,51928
gene_3612590,51833
gene_3581102,51738
gene_3721277,51674
gene_3042080,51645
gene_4453499,51526
gene_3803066,51410
gene_3696813,51262
gene_3911867,51084
gene_3746759,50983
gene_3305502,50967
gene_4309498,50948
gene_4492961,50928
gene_3191491,50922
gene_3250147,50816
gene_3862165,50651
gene_3273310,50609
gene_3615601,50604
gene_4501677,50590
gene_3869673,50420
gene_2762763,50357
gene_3048704,50245
gene_3473110,50170
gene_3470073,50165
gene_4406399,50110
gene_4287915,50104
gene_3705808,49954
gene_4106559,49941
gene_4142584,49894
gene_4304448,49886
gene_4046817,49843
gene_4410467,49754
gene_2478969,49693
gene_4595680,49638
gene_3792451,49579
gene_4041724,49451
gene_4135494,49400
gene_4406968,49378
gene_3728839,49277
gene_3295111,49085
gene_3395763,49022
gene_4279215,48978
gene_4305460,48874
gene_3176526,48720
gene_4622830,48636
gene_4467399,48608
gene_4633058,48602
gene_4484121,48279
gene_3555335,48269
gene_3264320,48265
gene_4333487,48145
gene_3575890,48139
gene_3213901,48090
gene_3569353,47961
gene_3588999,47935
gene_3740128,47934
gene_4036515,47917
gene_4320139,47708
gene_4147144,47672
gene_4529375,47632
gene_3967408,47564
gene_3876445,47493
gene_4546409,47372
gene_4220068,47303
gene_2217371,47263
gene_3847211,47253
gene_3968139,47190
gene_4633740,47105
gene_4447285,47092
gene_2657735,47009
gene_3471875,46976
gene_4258902,46898
gene_4420533,46796
gene_4632305,46770
gene_3701764,46671
gene_3988271,46603
gene_4253810,46568
gene_3149382,46541
gene_4489862,46524
gene_4432102,46510
gene_3089759,46342
gene_4529292,46335
gene_4548882,46295
gene_4033660,46207
gene_4612043,46194
gene_4540577,46179
gene_3016781,46171
gene_3572156,46062
gene_4566288,46046
gene_3036178,46040
gene_4320912,46026
gene_3335067,45990
gene_4443786,45921
gene_3969514,45773
gene_4534171,45716
gene_4305320,45599
gene_4420132,45561
gene_3536024,45374
gene_4216701,45310
gene_3147416,45300
gene_4403355,45281
gene_4044965,45168
gene_3929361,45141
gene_3767204,45115
gene_3576352,45043
gene_4050456,45036
gene_3600794,44983
gene_3209101,44972
gene_4108300,44888
gene_4485092,44873
gene_2837782,44844
gene_3638660,44832
gene_3378237,44817
gene_3137781,44759
gene_3762565,44729
gene_4118449,44644
gene_4222121,44568
gene_4433565,44502
gene_4606530,44385
gene_3970794,44367
gene_3758893,44270
gene_2905495,44121
gene_3452612,44090
gene_2653875,44022
gene_2851782,44017
gene_3685730,44003
DSM22607_4_GL0340256,43928
gene_3391546,43904
gene_1958653,43890
gene_3241815,43858
gene_3587112,43648
gene_3651666,43602
gene_4378487,43522
gene_3631341,43482
gene_3136800,43382
gene_4018366,43233
gene_2902355,43219
gene_3896904,43152
gene_4216838,43139
gene_4483277,43064
gene_4036360,43032
gene_3008714,43030
gene_4434951,43021
gene_4019895,43019
gene_3032996,43003
gene_3414790,42977
gene_2953684,42929
gene_3546772,42639
gene_4502224,42630
gene_3377575,42615
gene_4263639,42605
gene_3673122,42449
gene_3374861,42370
gene_4009535,42318
gene_4043077,42280
gene_3178395,42149
gene_4299436,42084
gene_2736174,42067
gene_3545078,42020
gene_3836959,41853
gene_4466754,41683
gene_4160447,41642
gene_4241412,41577
gene_3230397,41516
gene_4604030,41491
gene_3913077,41402
gene_2596772,41386
gene_4315453,41382
gene_3873906,41233
gene_3935885,41231
gene_3978143,41204
gene_3880524,41149
gene_3656140,40951
gene_3277055,40875
gene_3866419,40872
gene_2115899,40861
gene_4603222,40644
gene_4353641,40563
gene_4139158,40510
gene_1924892,40458
gene_4625580,40290
gene_3724218,40286
gene_3159664,40281
gene_4032535,40271
gene_3824923,40268
gene_3154619,40121
gene_4493590,40077
gene_3867818,40063
gene_3885384,40049
gene_4231947,40037
gene_3128801,39993
gene_3221436,39953
gene_2476697,39940
gene_4591505,39924
gene_4392070,39923
gene_3385642,39889
gene_4065008,39858
gene_3412541,39711
gene_3913538,39678
gene_4257777,39572
gene_4169428,39435
gene_4132721,39343
gene_2933446,39275
gene_3203715,39253
gene_3247777,39026
gene_3675602,38971
gene_3934547,38858
gene_2839179,38840
gene_4573738,38830
gene_2855783,38771
gene_4497719,38738
gene_3918469,38668
gene_4217315,38603
gene_4085699,38579
gene_4346760,38520
gene_3520790,38398
gene_3393630,38394
gene_4426549,38365
gene_3461831,38340
gene_4471536,38319
gene_4500981,38263
gene_4585997,38197
gene_3217843,38180
gene_3249762,38097
gene_3314902,38075
gene_4317122,38027
gene_4422374,38026
gene_3049061,38009
gene_4021958,37913
gene_3534785,37850
gene_3256291,37798
gene_4375746,37762
gene_2986687,37724
gene_4419114,37698
gene_4383761,37692
gene_4467509,37686
gene_4383681,37607
gene_3596412,37577
gene_4562190,37461
gene_4179326,37420
gene_3992708,37400
gene_4153791,37249
gene_4265553,37200
gene_3894563,37164
gene_3646316,37124
gene_3477059,37103
gene_3302001,37039
gene_4542301,37007
gene_3433147,36976
gene_3419734,36969
gene_4395000,36835
gene_4214772,36812
gene_4609966,36770
gene_3921369,36763
gene_4474935,36668
gene_4309799,36613
gene_4416358,36572
gene_4329657,36496
gene_3784095,36493
gene_3343755,36438
gene_3986654,36318
gene_3544107,36302
gene_4304252,36250
gene_2677191,36218
gene_4544228,36217
gene_3208292,36183
gene_4624028,36067
gene_3831705,35954
gene_3902442,35865
gene_4394211,35842
gene_3977405,35793
gene_3408849,35747
gene_3684198,35678
gene_4151035,35673
gene_2736075,35660
gene_3617341,35635
gene_3992728,35599
gene_1873664,35584
gene_4088307,35553
gene_4520153,35420
gene_3414630,35362
gene_3746756,35229
gene_3217844,35165
gene_4096662,35163
gene_4601967,35155
gene_3573521,35148
gene_4566746,35067
gene_3870295,35016
gene_4123435,34975
gene_2481200,34962
gene_3314169,34934
gene_3780972,34900
gene_4615338,34866
gene_4265317,34837
gene_3361261,34814
gene_4474926,34615
gene_3511474,34613
gene_3544564,34600
gene_4505036,34588
gene_4209155,34560
gene_4040747,34556
gene_4437273,34379
gene_3211338,34339
gene_4540508,34244
gene_4458882,34113
gene_4609872,34101
gene_3940284,33959
gene_4503882,33942
gene_4250014,33772
gene_2507054,33762
gene_4034273,33747
gene_3020502,33689
gene_3700930,33665
gene_4580872,33598
gene_4152129,33580
gene_3789039,33524
gene_3742710,33511
gene_4158416,33394
gene_4629454,33340
gene_4492526,33336
gene_3635121,33320
gene_4611458,33289
gene_4067681,33230
gene_4157882,33222
gene_4090523,33185
gene_4387186,33157
gene_4626142,33122
gene_4474117,33121
gene_3818620,33115
gene_2836625,33079
gene_3598423,33047
gene_4557870,33005
gene_4436151,33004
gene_3782941,32825
