gene,noFMT_4_colon
gene_4622482,11271
gene_3340967,11026
gene_3433148,10719
gene_4016531,10610
gene_3516854,10451
gene_4338190,10413
gene_4036652,10365
gene_4501438,10251
gene_3260889,10204
gene_4316990,10187
gene_2947127,10149
gene_4419584,9997
gene_4386762,9910
gene_4561987,9756
gene_3993385,9745
gene_3330827,9677
gene_4284425,9637
gene_4225958,9613
gene_3859809,9589
gene_3616653,9530
gene_2342657,9515
gene_3210366,9462
gene_4334201,9441
gene_4386171,9362
gene_4108299,9298
gene_3001961,9278
gene_3989023,9257
gene_3364891,9251
gene_4387326,9244
gene_4203264,9241
gene_3246467,9228
gene_3952247,9206
gene_3365448,9144
gene_3135983,9032
gene_4629613,9012
gene_4344959,8994
gene_4528138,8991
gene_3652454,8908
gene_3702322,8902
gene_3613911,8850
gene_3432174,8833
gene_3703198,8814
gene_3658717,8811
gene_3808459,8799
gene_4346856,8799
gene_3549943,8788
gene_3082022,8754
gene_4007429,8713
gene_4219067,8628
gene_4147251,8615
gene_3290868,8606
gene_4171501,8566
gene_3196730,8563
gene_3147171,8548
gene_4508782,8547
gene_4508783,8528
gene_4623567,8512
gene_4466755,8507
gene_3347716,8500
gene_4346761,8483
gene_3867259,8453
gene_4470407,8451
gene_4316177,8422
gene_3584313,8422
gene_4021122,8414
gene_4040662,8404
gene_2850056,8386
gene_4499431,8318
gene_4075667,8314
gene_3772239,8308
gene_4164876,8300
gene_3210147,8269
gene_3590518,8260
gene_4100199,8249
gene_3567414,8238
gene_3787930,8237
gene_4420630,8222
gene_4021349,8206
gene_3557724,8194
gene_3042132,8194
gene_4512024,8192
gene_4172273,8186
gene_3257034,8181
gene_3868912,8175
gene_3790903,8140
gene_3824167,8133
gene_3371006,8113
gene_4032910,8110
gene_3037461,8094
gene_2803613,8083
gene_4462425,8080
gene_3857775,8073
gene_3251230,8066
gene_4420133,7961
gene_3101473,7956
gene_3465828,7935
gene_3544973,7929
gene_4495409,7920
gene_4203002,7915
gene_2928338,7904
gene_3649150,7900
gene_3574173,7897
gene_4627549,7890
gene_3393628,7872
gene_4264534,7864
gene_2646438,7862
gene_3580147,7858
gene_4330949,7851
gene_3845823,7842
gene_2912316,7828
gene_1943947,7815
gene_4408765,7810
gene_3746759,7801
gene_4158462,7784
gene_4282247,7768
gene_4539942,7761
gene_4501677,7754
gene_3862761,7751
gene_3291045,7751
gene_3667044,7745
gene_4410387,7740
gene_3305502,7692
gene_3323454,7689
gene_4489856,7672
gene_3630863,7666
gene_3083162,7664
gene_3101065,7654
gene_3445319,7643
gene_3361691,7629
gene_3862165,7595
gene_4316493,7592
gene_4339977,7591
gene_4028544,7590
gene_4401297,7579
gene_3869673,7577
gene_4046817,7560
gene_2762987,7554
gene_3363819,7535
gene_3581102,7522
gene_4274197,7484
gene_4218769,7483
gene_3612590,7451
gene_4274272,7440
gene_3347464,7430
gene_4513499,7428
gene_4517226,7426
gene_3461286,7424
gene_2095992,7417
gene_3318738,7413
gene_3842103,7410
gene_4309498,7383
gene_4406399,7377
gene_2609743,7367
gene_3042080,7364
gene_3939091,7361
gene_4467399,7340
gene_3052838,7335
gene_4634338,7330
gene_3588999,7309
gene_3273310,7289
gene_4234918,7269
gene_4304448,7246
gene_3057548,7244
gene_3569353,7243
gene_4410467,7234
gene_3295111,7226
gene_4633058,7217
gene_4135494,7214
gene_3705808,7202
gene_4025509,7197
gene_4106559,7184
gene_4320139,7174
gene_4489862,7128
gene_3904066,7118
gene_4540577,7095
gene_4036515,7095
gene_4253614,7079
gene_4041724,7075
gene_4055190,7075
gene_4229339,7052
gene_4508703,7051
gene_4566288,7007
gene_2762763,7004
gene_4403355,6996
gene_3016781,6992
gene_3452612,6975
gene_3891396,6966
gene_4279215,6956
gene_4346442,6952
gene_3792451,6939
gene_3176526,6932
gene_3470073,6929
gene_2657735,6927
gene_3395763,6925
gene_3149382,6923
gene_3841170,6904
gene_3394445,6903
gene_4546409,6899
DSM22607_4_GL0340256,6894
gene_4118449,6885
gene_3615601,6876
gene_3876445,6853
gene_2891508,6845
gene_3968139,6844
gene_4595680,6840
gene_4443786,6830
gene_3967408,6815
gene_3335067,6815
gene_4432102,6798
gene_4423019,6783
gene_3600794,6770
gene_4632305,6764
gene_4258902,6741
gene_3696813,6741
gene_4305460,6737
gene_3536024,6736
gene_4612043,6723
gene_3701764,6710
gene_2217371,6707
gene_4220068,6707
gene_1958653,6701
gene_3147416,6691
gene_4434951,6681
gene_3919810,6679
gene_4216701,6675
gene_4135100,6672
gene_4529292,6672
gene_2653875,6670
gene_4420533,6654
gene_3048704,6645
gene_3758893,6619
gene_4406968,6611
gene_4617382,6601
gene_3803066,6559
gene_4320912,6546
gene_3191491,6538
gene_3929361,6529
gene_4281171,6509
gene_3767204,6507
gene_3911867,6484
gene_3651666,6474
gene_3608730,6460
gene_3721277,6454
gene_3970794,6447
gene_3631341,6410
gene_4160447,6398
gene_4044965,6398
gene_3036178,6366
gene_3670427,6364
gene_4307382,6355
gene_3209101,6327
gene_4453499,6313
gene_2837782,6310
gene_4050456,6274
gene_2596772,6273
gene_4014806,6266
gene_4287915,6245
gene_4299436,6238
gene_3241815,6216
gene_4353641,6204
gene_3913077,6197
gene_4502224,6191
gene_4492961,6179
gene_3576352,6171
gene_4032535,6156
gene_2902355,6145
gene_3277055,6123
gene_3213901,6097
gene_3873906,6096
gene_2905495,6087
gene_4540942,6076
gene_3471875,6063
gene_3473110,6058
gene_2988422,6056
gene_4534171,6056
gene_4315453,6046
gene_3638660,6040
gene_3495998,6024
gene_3008714,5991
gene_2115899,5980
gene_4108300,5971
gene_3247777,5959
gene_4422374,5956
gene_2855783,5939
gene_4216838,5910
gene_4147144,5909
gene_3032996,5898
gene_3412541,5890
gene_4603222,5888
gene_4019895,5885
gene_4241412,5860
gene_3992708,5841
gene_4591505,5840
gene_4484121,5830
gene_3555335,5813
gene_4085699,5783
gene_3969514,5759
gene_3572156,5723
gene_2476697,5698
gene_3656140,5689
gene_4573738,5672
gene_4378487,5670
gene_3217843,5640
gene_4263639,5634
gene_3314902,5622
gene_4043077,5613
gene_3250147,5601
gene_4529375,5589
gene_4625580,5578
gene_3935885,5566
gene_3896904,5550
gene_4485092,5543
gene_3824923,5541
gene_3880524,5535
gene_3128801,5526
gene_3764696,5524
gene_3918469,5499
gene_4395000,5488
gene_4497719,5487
gene_3885384,5480
gene_3902442,5468
gene_3230397,5465
gene_3675602,5460
gene_3617341,5455
gene_3178395,5450
gene_3978143,5445
gene_3888271,5443
gene_3433147,5438
gene_3361261,5413
gene_3384069,5408
gene_3544107,5403
gene_3867818,5395
gene_3343755,5392
gene_4601967,5379
gene_4253810,5376
