gene,noFMT_3_colon
gene_4622482,2201
gene_3340967,2164
gene_3433148,2105
gene_4016531,2032
gene_4338190,2003
gene_3260889,1986
gene_4501438,1984
gene_4419584,1984
gene_4316990,1977
gene_4036652,1956
gene_3993385,1936
gene_2947127,1936
gene_4386762,1930
gene_3616653,1927
gene_3516854,1913
gene_4561987,1902
gene_3330827,1872
gene_4334201,1857
gene_3859809,1854
gene_4284425,1848
gene_2342657,1846
gene_4386171,1845
gene_4203264,1842
gene_3613911,1837
gene_3210366,1832
gene_4344959,1832
gene_3989023,1825
gene_3364891,1800
gene_4387326,1788
gene_3952247,1785
gene_3135983,1782
gene_3808459,1780
gene_3246467,1777
gene_3432174,1770
gene_4629613,1768
gene_4346856,1768
gene_3549943,1754
gene_3001961,1750
gene_4225958,1745
gene_4108299,1744
gene_4528138,1742
gene_3702322,1740
gene_3365448,1738
gene_3584313,1731
gene_3652454,1730
gene_4466755,1727
gene_3703198,1718
gene_3290868,1710
gene_2850056,1709
gene_3082022,1707
gene_4147251,1702
gene_3658717,1699
gene_3147171,1690
gene_3787930,1673
gene_4007429,1663
gene_4508783,1662
gene_3196730,1655
gene_4219067,1653
gene_4021349,1648
gene_4316177,1647
gene_4171501,1646
gene_3347716,1640
gene_3257034,1640
gene_4623567,1636
gene_4164876,1634
gene_4172273,1634
gene_4512024,1633
gene_3251230,1631
gene_3590518,1629
gene_4032910,1627
gene_4040662,1625
gene_3567414,1622
gene_3210147,1621
gene_4346761,1618
gene_3868912,1615
gene_3867259,1614
gene_4470407,1611
gene_3790903,1610
gene_4100199,1608
gene_4420630,1608
gene_3042132,1608
gene_4075667,1606
gene_3824167,1604
gene_2803613,1595
gene_4499431,1593
gene_4021122,1592
gene_3649150,1587
gene_3772239,1586
gene_3667044,1573
gene_4627549,1559
gene_3857775,1557
gene_2928338,1557
gene_3580147,1556
gene_3361691,1553
gene_3037461,1551
gene_4028544,1546
gene_4264534,1545
gene_3101065,1542
gene_3630863,1541
gene_3557724,1541
gene_4508782,1538
gene_3445319,1537
gene_4462425,1534
gene_3393628,1534
gene_3371006,1531
gene_4203002,1527
gene_3746759,1527
gene_2646438,1527
gene_4330949,1524
gene_4218769,1523
gene_4410387,1523
gene_4158462,1522
gene_3574173,1521
gene_3862761,1521
gene_4339977,1521
gene_2762987,1518
gene_3083162,1517
gene_3101473,1515
gene_3057548,1515
gene_4517226,1508
gene_3612590,1506
gene_4501677,1506
gene_4539942,1503
gene_3323454,1495
gene_4408765,1494
gene_4420133,1494
gene_3845823,1493
gene_4316493,1493
gene_3305502,1490
gene_4282247,1489
gene_4046817,1488
gene_3465828,1487
gene_3939091,1479
gene_4495409,1474
gene_3544973,1473
gene_4274197,1470
gene_3291045,1469
gene_4253614,1465
gene_4489856,1464
gene_4309498,1460
gene_3862165,1459
gene_1943947,1459
gene_2912316,1457
gene_3869673,1452
gene_3052838,1450
gene_2762763,1444
gene_4513499,1442
gene_3581102,1439
gene_3318738,1435
gene_3042080,1428
gene_4423019,1428
gene_3363819,1425
gene_4406399,1422
gene_4467399,1421
gene_3452612,1417
gene_4410467,1412
gene_3842103,1410
gene_4025509,1410
gene_2095992,1410
gene_3588999,1409
gene_4401297,1406
gene_4229339,1404
gene_3705808,1402
gene_3273310,1402
gene_4274272,1398
gene_4041724,1394
gene_3841170,1394
gene_3295111,1394
gene_4633058,1393
gene_4106559,1391
gene_4304448,1391
gene_2609743,1389
gene_4346442,1389
gene_4279215,1387
gene_4135494,1386
gene_4489862,1384
gene_3347464,1383
gene_4055190,1381
gene_3461286,1377
gene_4403355,1375
gene_4634338,1375
gene_3891396,1372
gene_4258902,1370
gene_4432102,1370
gene_3904066,1367
gene_4320139,1367
gene_4540577,1359
gene_4546409,1351
gene_2653875,1350
gene_4305460,1350
gene_4234918,1349
gene_4216701,1349
gene_4036515,1346
gene_2657735,1345
gene_4220068,1345
gene_3929361,1345
gene_3394445,1343
gene_4508703,1343
gene_4118449,1342
gene_4135100,1342
gene_3968139,1342
gene_4566288,1341
gene_3191491,1341
gene_3048704,1338
gene_3149382,1336
gene_3147416,1335
gene_4612043,1328
gene_3970794,1327
gene_3395763,1323
gene_4529292,1323
gene_3792451,1322
gene_2217371,1322
gene_3919810,1321
gene_4632305,1318
gene_3536024,1315
gene_3876445,1312
gene_3176526,1311
gene_3016781,1306
gene_3569353,1306
gene_4320912,1300
gene_3696813,1299
gene_4434951,1296
gene_3470073,1294
gene_4443786,1290
gene_2891508,1289
gene_4420533,1289
gene_3600794,1286
gene_3651666,1284
gene_4595680,1283
gene_4453499,1278
gene_3335067,1270
gene_2988422,1269
gene_1958653,1268
gene_3967408,1268
gene_3608730,1267
gene_4406968,1266
gene_3631341,1265
gene_3701764,1264
gene_4617382,1260
gene_3803066,1256
gene_3911867,1255
gene_3495998,1254
gene_4299436,1253
gene_4050456,1253
gene_3758893,1252
gene_3615601,1251
gene_3767204,1251
gene_3036178,1248
DSM22607_4_GL0340256,1245
gene_4160447,1240
gene_3670427,1239
gene_3721277,1238
gene_4540942,1236
gene_4307382,1234
gene_3913077,1233
gene_4044965,1226
gene_2837782,1224
gene_3471875,1219
gene_3873906,1211
gene_2596772,1209
gene_4014806,1209
gene_4492961,1206
gene_4032535,1206
gene_4287915,1206
gene_4502224,1203
gene_4534171,1201
gene_4281171,1197
gene_3247777,1196
gene_3473110,1195
gene_3576352,1192
gene_4353641,1190
gene_2902355,1180
gene_4422374,1177
gene_4315453,1177
gene_3209101,1175
gene_2115899,1173
gene_3241815,1171
gene_2855783,1164
gene_3008714,1163
gene_4378487,1157
gene_2905495,1148
gene_3555335,1147
gene_3213901,1147
gene_4603222,1144
gene_4485092,1143
gene_3896904,1141
gene_3277055,1139
gene_4108300,1139
gene_4043077,1139
gene_4019895,1138
gene_4241412,1137
gene_4573738,1130
gene_4216838,1127
gene_4253810,1126
gene_4085699,1125
gene_3888271,1124
gene_3638660,1124
gene_4147144,1124
gene_3412541,1121
gene_3969514,1120
gene_3384069,1116
gene_3343755,1110
gene_3128801,1109
gene_4484121,1107
gene_3032996,1104
gene_4529375,1100
gene_2476697,1098
gene_3217843,1097
gene_3230397,1094
gene_4263639,1093
gene_3314902,1089
gene_3764696,1089
gene_3656140,1084
gene_3896903,1082
gene_3361261,1076
gene_4222121,1076
gene_4419114,1074
gene_3250147,1073
gene_3902442,1070
gene_3572156,1068
gene_3646316,1066
gene_3675602,1065
gene_3824923,1064
gene_4591505,1062
gene_3918469,1062
gene_3880524,1061
gene_3217844,1060
gene_3935885,1057
gene_3374861,1057
gene_4601967,1055
gene_3391546,1055
gene_3818861,1054
gene_3546772,1053
gene_4544228,1048
gene_4433565,1047
gene_3249762,1044
gene_3545078,1043
gene_2986687,1043
gene_4625580,1040
gene_3947041,1040
gene_4383681,1035
gene_3433147,1035
gene_4317122,1034
gene_4142584,1033
gene_2839179,1030
gene_3992708,1030
gene_3867818,1027
gene_3544564,1025
gene_4395000,1024
gene_4497719,1023
gene_3746756,1023
gene_3585500,1023
gene_4633740,1021
gene_3154619,1019
gene_4540508,1016
gene_3178395,1015
gene_3617341,1014
gene_4265317,1010
